symbol,date,open,high,low,close,volume,adjclose
dmrc,2018-11-12,20.299999237060547,21.719999313354492,20.299999237060547,21.600000381469727,44100,21.600000381469727
dmrc,2018-11-19,21.540000915527344,21.540000915527344,18.93000030517578,19.75,182600,19.75
dmrc,2018-11-26,19.899999618530273,20.399999618530273,18.399999618530273,20.1200008392334,501500,20.1200008392334
dmrc,2018-12-03,20.360000610351562,21.010000228881836,18.959999084472656,19.270000457763672,286800,19.270000457763672
dmrc,2018-12-10,19.15999984741211,19.329999923706055,17.770000457763672,18.110000610351562,327100,18.110000610351562
dmrc,2018-12-17,17.959999084472656,18.670000076293945,14.859999656677246,15.239999771118164,458400,15.239999771118164
dmrc,2018-12-24,15.010000228881836,16.219999313354492,14.09000015258789,15.84000015258789,598200,15.84000015258789
dmrc,2018-12-31,15.84000015258789,16.979999542236328,14.029999732971191,16.8700008392334,391100,16.8700008392334
dmrc,2019-01-07,16.90999984741211,18.90999984741211,16.90999984741211,18.760000228881836,307200,18.760000228881836
dmrc,2019-01-14,18.600000381469727,19.700000762939453,17.899999618530273,19.020000457763672,519700,19.020000457763672
dmrc,2019-01-21,19.09000015258789,20.149999618530273,18.020000457763672,19.649999618530273,288500,19.649999618530273
dmrc,2019-01-28,19.43000030517578,20.739999771118164,18.579999923706055,20.690000534057617,443600,20.690000534057617
dmrc,2019-02-04,20.709999084472656,22.719999313354492,20.709999084472656,22.579999923706055,526300,22.579999923706055
dmrc,2019-02-11,22.75,23.940000534057617,22.010000228881836,23.280000686645508,279700,23.280000686645508
dmrc,2019-02-18,23.290000915527344,30.360000610351562,23.290000915527344,29.170000076293945,484600,29.170000076293945
dmrc,2019-02-25,29.049999237060547,31.700000762939453,29.049999237060547,30.90999984741211,535900,30.90999984741211
dmrc,2019-03-04,31.1200008392334,31.299999237060547,29.030000686645508,29.639999389648438,346100,29.639999389648438
dmrc,2019-03-11,29.690000534057617,31.139999389648438,28.829999923706055,30.729999542236328,588600,30.729999542236328
dmrc,2019-03-18,30.440000534057617,34.79999923706055,30.440000534057617,31.950000762939453,435200,31.950000762939453
dmrc,2019-03-25,31.670000076293945,33.54999923706055,30.8700008392334,31.3799991607666,252900,31.3799991607666
dmrc,2019-04-01,31.729999542236328,34.209999084472656,30.729999542236328,31.440000534057617,583800,31.440000534057617
dmrc,2019-04-08,31.350000381469727,31.3700008392334,29.520000457763672,31.1200008392334,428400,31.1200008392334
dmrc,2019-04-15,31.09000015258789,31.299999237060547,27.34000015258789,28.0,371300,28.0
dmrc,2019-04-22,27.860000610351562,31.799999237060547,27.559999465942383,31.600000381469727,494700,31.600000381469727
dmrc,2019-04-29,31.59000015258789,50.79999923706055,28.860000610351562,47.959999084472656,2984400,47.959999084472656
dmrc,2019-05-06,47.0,61.880001068115234,46.220001220703125,58.279998779296875,1868900,58.279998779296875
dmrc,2019-05-13,56.95000076293945,62.099998474121094,53.529998779296875,58.04999923706055,1005000,58.04999923706055
dmrc,2019-05-20,58.0,65.91000366210938,57.689998626708984,64.0999984741211,1188100,64.0999984741211
dmrc,2019-05-27,65.41999816894531,66.5,50.5,52.560001373291016,1316200,52.560001373291016
dmrc,2019-06-03,52.65999984741211,54.380001068115234,48.88999938964844,53.779998779296875,884700,53.779998779296875
dmrc,2019-06-10,54.560001373291016,55.130001068115234,50.02000045776367,50.59000015258789,412200,50.59000015258789
dmrc,2019-06-17,50.869998931884766,52.900001525878906,41.849998474121094,42.72999954223633,1003000,42.72999954223633
dmrc,2019-06-24,42.4900016784668,44.630001068115234,41.0099983215332,44.38999938964844,682000,44.38999938964844
dmrc,2019-07-01,45.0,47.20000076293945,44.0,46.58000183105469,472000,46.58000183105469
