symbol,date,open,high,low,close,volume,adjclose,splits
hov,2019-08-26,8.149999618530273,8.350000381469727,6.610000133514404,8.239999771118164,613600,8.239999771118164,0.0
hov,2019-09-02,8.199999809265137,13.970000267028809,7.690000057220459,12.6899995803833,2111400,12.6899995803833,0.0
hov,2019-09-09,13.0,16.549999237060547,13.0,15.3100004196167,2412300,15.3100004196167,0.0
hov,2019-09-16,15.119999885559082,16.489999771118164,14.350000381469727,16.15999984741211,1072900,16.15999984741211,0.0
hov,2019-09-23,15.930000305175781,19.989999771118164,15.710000038146973,18.420000076293945,1379800,18.420000076293945,0.0
hov,2019-09-30,18.579999923706055,19.989999771118164,17.639999389648438,18.790000915527344,742600,18.790000915527344,0.0
hov,2019-10-07,18.709999084472656,23.829999923706055,18.6200008392334,23.350000381469727,1563700,23.350000381469727,0.0
hov,2019-10-14,23.360000610351562,28.739999771118164,23.350000381469727,26.860000610351562,2296800,26.860000610351562,0.0
hov,2019-10-21,26.899999618530273,30.350000381469727,26.280000686645508,28.479999542236328,1725700,28.479999542236328,0.0
hov,2019-10-28,28.5,28.780000686645508,22.559999465942383,26.760000228881836,1497300,26.760000228881836,0.0
hov,2019-11-04,26.790000915527344,27.389999389648438,23.290000915527344,23.350000381469727,1212100,23.350000381469727,0.0
hov,2019-11-11,23.059999465942383,24.25,21.520000457763672,23.809999465942383,917100,23.809999465942383,0.0
hov,2019-11-18,23.790000915527344,24.1200008392334,20.059999465942383,20.1200008392334,1262700,20.1200008392334,0.0
hov,2019-11-25,20.1299991607666,22.670000076293945,20.100000381469727,22.299999237060547,500400,22.299999237060547,0.0
hov,2019-12-02,22.610000610351562,28.649999618530273,19.850000381469727,26.940000534057617,1376400,26.940000534057617,0.0
hov,2019-12-09,27.139999389648438,29.719999313354492,24.530000686645508,24.969999313354492,1009100,24.969999313354492,0.0
hov,2019-12-16,25.15999984741211,25.719999313354492,20.25,21.299999237060547,925400,21.299999237060547,0.0
hov,2019-12-23,21.450000762939453,21.959999084472656,20.5,21.100000381469727,497500,21.100000381469727,0.0
hov,2019-12-30,20.969999313354492,23.280000686645508,20.149999618530273,20.940000534057617,932400,20.940000534057617,0.0
hov,2020-01-06,20.530000686645508,22.399999618530273,20.25,21.700000762939453,843400,21.700000762939453,0.0
hov,2020-01-13,21.760000228881836,27.729999542236328,21.440000534057617,27.09000015258789,943500,27.09000015258789,0.0
hov,2020-01-20,27.09000015258789,32.900001525878906,27.040000915527344,29.6200008392334,881600,29.6200008392334,0.0
hov,2020-01-27,28.56999969482422,31.799999237060547,25.440000534057617,25.559999465942383,736100,25.559999465942383,0.0
hov,2020-02-03,25.510000228881836,25.729999542236328,22.309999465942383,24.93000030517578,995300,24.93000030517578,0.0
hov,2020-02-10,24.889999389648438,30.34000015258789,24.5,27.59000015258789,714300,27.59000015258789,0.0
hov,2020-02-17,27.40999984741211,32.54999923706055,27.270000457763672,30.469999313354492,492900,30.469999313354492,0.0
hov,2020-02-24,28.530000686645508,29.899999618530273,23.600000381469727,24.75,708300,24.75,0.0
hov,2020-03-02,25.0,27.600000381469727,22.700000762939453,23.190000534057617,651300,23.190000534057617,0.0
hov,2020-03-09,19.700000762939453,21.15999984741211,7.300000190734863,9.899999618530273,1373300,9.899999618530273,0.0
hov,2020-03-16,8.199999809265137,8.869999885559082,5.119999885559082,7.820000171661377,1615900,7.820000171661377,0.0
hov,2020-03-23,7.590000152587891,11.8100004196167,6.25,9.609999656677246,1299600,9.609999656677246,0.0
hov,2020-03-30,9.510000228881836,9.510000228881836,6.159999847412109,6.440000057220459,967000,6.440000057220459,0.0
hov,2020-04-06,6.989999771118164,12.0,6.860000133514404,10.479999542236328,1667100,10.479999542236328,0.0
hov,2020-04-13,10.5,11.489999771118164,8.520000457763672,9.760000228881836,1062300,9.760000228881836,0.0
